Country,People using safely managed drinking water services % of population 2017,People using safely managed sanitation services % of population 2017,Access to electricity % of population 2017,Renewable energy consumption % of total final energy consumption 2015_x,Expenditures for R&D % of GDP 2015,Urban population living in slums % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014_x,Nationally protected terrestrial and marine areas % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017,Rural population % of total 2000,Rural population % of total 2018,Rural population growth (annual %)  2018,Land area sq. km thousands 2016,Land use Forest area % of land area 2000,Land use Forest area % of land area 2016,Land use Permanent cropland % of land area 2000,Land use Permanent cropland % of land area 2016,Land use Arable land % of land area 2000,Land use Arable land % of land area 2016,Arable land hectares per person 2000,Arable land hectares per person 2016,Access to electricity % of population 2000,Access to electricity % of population 2016,Access to electricity % of urban population 2016,Access to electricity % of rural population 2016,Access to clean fuels and technologies for cooking % of population 2000,Access to clean fuels and technologies for cooking % of population 2016,Renewable energy consumption % of total final energy consumption 2000,Renewable energy consumption % of total final energy consumption 2015_y,Renewable electricity output % of total electricity output 2000,Renewable electricity output % of total electricity output 2015,Agricultural land % of land area 2000-02,Agricultural land % of land area 2014-16,Agricultural land % irrigated 2014-16,Average annual precipitation millimeters 2014,Land under cereal production hectares thousands 2000-02,Land under cereal production hectares thousands 2014-16,Fertilizer consumption % of fertilizer production 2014-16,Fertilizer consumption kilograms per hectare of arable land 2014-16,Agricultural employment % of total employment 2000-02,Agricultural employment % of total employment 2014-16,Agricultural machinery tractors per 100 sq. km of arable land 2000,Agricultural machinery tractors per 100 sq. km of arable land 2009,Exposure to impact Land area where elevation is below 5 meters % of land area 2010,Exposure to impact Population living in areas where elevation is below 5 meters % of total population 2010,"Exposure to impact Population affected by droughts, floods, and extreme temperatures average annual; % of total population 2009",Exposure to impact Urban land area where elevation is below 5 meters % of urban land area 2010,Exposure to impact Rural population living in areas where elevation is below 5 meters % of rural population 2010,Exposure to impact Rural land area where elevation is below 5 meters % of rural land area 2010,Exposure to impact Urban population living in areas where elevation is below 5 meters % of urban population 2010,"Resilience Disaster risk reduction progress score 1, worst to 5,best 2011",Net energy imports % of energy use 1990,Net energy imports % of energy use 2015,GDP per unit of energy use 2011 PPP $ per kilogram of oil equivalent 1990,GDP per unit of energy use 2011 PPP $ per kilogram of oil equivalent 2015,Carbon dioxide emissions Total thousand metric tons 1990,Carbon dioxide emissions Total thousand metric tons 2014,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 1990,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 2014,Carbon dioxide emissions per capita metric tons 1990,Carbon dioxide emissions per capita metric tons 2014_y,Carbon dioxide emissions kilograms per 2011 PPP $ of GDP 1990,Carbon dioxide emissions kilograms per 2011 PPP $ of GDP 2014,Annual freshwater withdrawals Flows billion cu. m 2014,Annual freshwater withdrawals billion cu. m 2014,Annual freshwater withdrawals % of internal resources 2014,Annual freshwater withdrawals % for agriculture 2015,Annual freshwater withdrawals % for industry 2014,Water productivity % of domestic 2015,People using at least basic drinking water services GDP/water use 2010 $ per cu. m 2015,People using at least basic drinking water services Urban % of urban population 2018,People using at least basic drinking water services Rural % of Rural population 2018,Total greenhouse gas emissions thousand metric tons of carbon dioxide equivalent 2012,Total greenhouse gas emissions % change 1990-2012,Methane emissions thousand metric tons of carbon dioxide equivalent 2012,Methane emissions % change 1990-2012,Methane emissions From energy processes % of total 2008,Methane emissions Agricultural % of total 2008,Nitrous oxide emissions thousand metric tons of carbon dioxide equivalent 2012,Nitrous oxide emissions % change 1990-2012,Nitrous oxide emissions From energy processes % of total 2008,Nitrous oxide emissions Agricultural % of total 2008,Other greenhouse gas emissions thousand metric tons of carbon dioxide equivalent 2012,Other greenhouse gas emissions % change 1990-2012,Health expenditure Current % of GDP 2016,Health expenditure Public % of current 2016,Health expenditure Out of pocket % of current 2016,Health expenditure per capita $ 2016,Health expenditure per capita current PPP $ 2016,External health expenditure (% of current health expenditure)  2016,"Health workers Physicians per 1,000 people 2009-18","Health workers Nurses and midwives per 1,000 people 2009-18","Specialist surgical workforce per 100,000 population 2008-18",Completeness of birth registration % 2009-18,Completeness of death registration % 2008-16,"Incidence of tuberculosis per 100,000 people 2018",output
United States,99.0,90.0,100.0,8.7,2.7,45.734939759036145,7.4,6.1,16.5,26.3,5.0,87.3,21.0,18.0,-0.5,171.07621621621624,33.1,33.9,0.3,0.3,19.1,16.6,0.62,0.47,100.0,100.0,100.0,100.0,100.0,100.0,5.4,8.7,8.2,13.2,45.0,44.0,10.086792452830188,715.0,278.22336448598134,260.49223300970874,123.6,138.6,1.5,1.4,256.8,271.2,1.2,2.5,0.2,0.2,0.2,1.0,2.3,3.5,14.0,7.0,4.8,7.8,339.6545454545454,405.780487804878,2.5,2.4,19.3,16.5,0.5,0.3,96.0655172413793,418.7,14.9,36.0,51.0,13.0,36.0,99.8,97.0,381.29999999999995,3.4,152.66666666666666,-21.6,40.1,36.0,221.65217391304347,-12.9,21.7,57.6,109.12765957446808,120.2,17.1,81.8,11.1,262.8720588235294,386.33181818181816,0.0,2.6,8.6,54.7,100.0,98.0,3.0,0
Uruguay,79.07499999999999,68.34255319148937,100.0,58.0,0.4,45.734939759036145,9.2,10.2,2.0,2.3,8.5,68.3,8.0,5.0,-1.6,175.0,7.8,10.7,0.2,0.2,7.8,13.8,0.41,0.7,98.3,99.7,99.8,100.0,96.1,98.0,38.8,58.0,93.4,88.6,85.0,83.0,1.5,480.17894736842106,483.8,728.5,145.89054054054054,143.7,11.2,8.2,265.6,199.7,1.5,4.1,0.3,0.1,0.8,1.4,3.3,3.2987951807228924,49.0,44.0,13.6,14.4,339.6545454545454,405.780487804878,1.8,1.4,1.3,2.0,0.1,0.1,92.2,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,99.6,95.3,381.29999999999995,31.1,152.66666666666666,24.1,3.0,92.8,221.65217391304347,33.9,1.8,96.0,109.12765957446808,-56.7,9.1,71.7,17.4,262.8720588235294,386.33181818181816,0.0,5.0,1.9,38.9,100.0,99.0,33.0,0
Uzbekistan,58.9,68.34255319148937,100.0,3.0,0.2,45.734939759036145,27.8,6.700680272108843,3.4,3.4,1.6,52.3,54.0,50.0,1.9,425.4,7.6,7.5,0.8,0.9,10.5,10.3,0.18,0.14,99.6,100.0,100.0,100.0,79.6,92.1,1.2,3.0,12.5,20.7,64.0,63.0,10.086792452830188,206.0,278.22336448598134,260.49223300970874,76.7,232.7,36.5,33.7,207.31297709923663,194.94313725490193,4.993181818181818,7.268750000000001,0.1,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,17.0,-26.0,1.7,4.3,339.6545454545454,405.780487804878,2.5,2.4,5.2,3.4,1.6,0.5,16.3,49.2,300.9,48.22330097087379,3.0,28.303030303030305,55.86915887850467,99.6,96.1,381.29999999999995,4.6,152.66666666666666,43.7,59.2,32.8,221.65217391304347,17.9,3.7,85.5,258.0,-9.6,6.3,46.1,52.2,135.1,416.9,1.2,2.4,12.1,50.4,84.20245398773007,89.30934579439251,70.0,0
Vanuatu,44.1,68.34255319148937,62.8,36.1,0.8568,45.734939759036145,11.6,20.8,0.6,0.1,7.763095238095239,25.7,78.0,75.0,2.3,12.2,36.1,36.1,9.3,10.3,1.6,1.6,0.11,0.07,22.3,57.8,91.4,46.6,11.8,12.6,48.7,36.1,0.0,21.3,15.0,15.0,10.086792452830188,206.0,1.4,1.5,145.89054054054054,141.3229299363057,64.1,61.6,207.31297709923663,194.94313725490193,0.8,1.2,0.1,0.0,0.8,0.8,0.4,2.0,-29.218045112781954,-16.47142857142857,16.0,9.64963503649635,66.0,154.0,2.8,2.135,0.5,0.6,0.2,0.2,10.0,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,99.5,88.5,446.2,3.0,254.0,18.8,1.4,85.4,109.0,13.9,1.0,95.7,-20.0,650.0,3.7,53.9,8.4,109.8,116.1,34.6,0.2,1.4,3.2,43.0,89.30934579439251,46.0,0
"Venezuela, RB",79.07499999999999,23.8,100.0,12.8,0.3,45.734939759036145,16.8,7.2,6.2,36.9,56.3,72.0,12.0,12.0,-2.0,882.1,55.7,52.7,0.9,0.8,2.9,3.1,0.11,0.09,98.9,100.0,100.0,99.7,96.3,96.2,14.7,12.8,73.7,63.7,24.0,24.0,10.086792452830188,480.17894736842106,806.6,520.1,59.0,183.5,10.0,7.3,207.31297709923663,194.94313725490193,1.5,2.5,0.2,0.1,0.7,1.4,1.8,2.8,-266.0,-179.0,7.3,7.8,339.6545454545454,405.780487804878,3.1,2.7,6.2,6.2,0.4,0.4,805.0,22.6,2.8,74.0,4.0,23.0,17.0,94.19885057471264,80.00595238095238,381.29999999999995,34.2,152.66666666666666,31.9,41.2,44.1,221.65217391304347,28.7,4.3,72.4,109.12765957446808,-42.4,3.2,24.1,40.0,262.8720588235294,940.0,0.0,1.7232804232804235,4.139153439153439,18.1,81.0,100.0,48.0,0
Vietnam,79.07499999999999,68.34255319148937,100.0,35.0,0.4,27.2,30.2,13.4,1.8,2.9,7.763095238095239,58.1,76.0,64.0,-0.1,310.1,37.7,48.1,6.2,14.6,19.9,22.6,0.08,0.07,86.3,100.0,100.0,100.0,14.4,66.9,58.0,35.0,54.8,36.7,30.0,39.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,222.8,429.8,62.0,41.9,262.5,262.5,15.4,37.0,1.6,0.8,29.6,14.6,7.3,3.2987951807228924,-2.0,-15.0,5.5,7.7,339.6545454545454,405.780487804878,1.2,2.5,0.3,1.8,0.2,0.3,359.4,81.9,22.8,48.22330097087379,4.0,28.303030303030305,55.86915887850467,98.6,92.6,381.29999999999995,213.6,152.66666666666666,87.8,34.7,54.2,221.65217391304347,197.0,6.7,83.8,109.12765957446808,348.0,5.7,47.4,44.6,122.8,356.3,2.3,0.8,1.4,37.93714285714286,96.0,89.30934579439251,182.0,1
Virgin Islands (U.S.),79.07499999999999,68.34255319148937,100.0,3.9,0.8568,45.734939759036145,10.3,6.700680272108843,4.882758620689655,1.0,49.3,64.4,7.0,4.0,-3.0,0.4,58.5,50.0,2.9,2.9,5.7,2.9,0.02,0.01,100.0,100.0,100.0,100.0,55.68989361702128,64.84840425531915,0.0,3.9,0.0,3.9,17.0,11.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,4.4,3.8,490.0,194.94313725490193,6.6,5.4,1.1714285714285713,2.9,2.5,3.8,2.9,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,405.780487804878,2.3329113924050633,2.135,4.579274611398964,4.905940594059406,0.32500000000000007,0.2513089005235602,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,61.5,35.8,47.0,39.5,0.0,7.2,13.0,37.2,0.0,93.1,0.0,80.69254658385093,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,37.93714285714286,84.20245398773007,89.30934579439251,102.89371980676329,1
West Bank and Gaza,79.07499999999999,61.2,100.0,10.5,0.5,45.734939759036145,32.7,6.700680272108843,0.6,12.923923444976076,1.0,65.2,28.0,24.0,1.4,6.0,1.5,1.5,19.9,16.0,16.9,8.4,0.03,0.01,99.7,100.0,100.0,100.0,55.68989361702128,64.84840425531915,17.5,10.5,0.0,0.0,61.0,49.0,10.086792452830188,402.0,33.7,24.5,145.89054054054054,141.3229299363057,15.4,7.4,737.3,737.3,0.1,0.6,1.1714285714285713,0.0,0.3,0.1,0.3,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,405.780487804878,2.3329113924050633,2.135,4.579274611398964,0.6,0.32500000000000007,0.1,0.8,0.4,50.2,48.22330097087379,7.0,28.303030303030305,55.86915887850467,97.1,95.9,381.29999999999995,71.66397849462365,152.66666666666666,37.1445,25.91094527363184,42.623880597014924,221.65217391304347,25.64776119402985,8.986138613861387,63.42623762376239,109.12765957446808,80.69254658385093,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,37.93714285714286,96.0,89.30934579439251,1.0,0
"Yemen, Rep.",79.07499999999999,68.34255319148937,79.2,2.3,0.8568,60.8,50.1,6.700680272108843,0.9,0.6,6.7,26.7,74.0,63.0,1.4,528.0,1.0,1.0,0.2,0.6,2.9,2.4,0.09,0.05,50.0,76.1,97.4,64.4,51.8,64.9,1.2,2.3,0.0,0.0,45.0,45.0,10.086792452830188,167.0,593.1,519.8,145.89054054054054,16.4,35.8,34.2,41.0,41.0,0.4,1.6,0.1,0.0,0.7,0.4,0.9,2.3,-273.0,-121.0,16.0,12.0,339.6545454545454,405.780487804878,3.8,3.1,0.8,0.9,0.2,0.2,2.1,3.5,168.6,48.22330097087379,2.0,28.303030303030305,55.86915887850467,79.1,54.7,381.29999999999995,218.5,152.66666666666666,128.5,27.8,46.8,221.65217391304347,77.4,13.7,71.0,109.12765957446808,433.3,5.6,10.2,81.0,72.0,144.5,7.8,0.3,0.7,0.8,30.7,89.30934579439251,48.0,0
Zambia,79.07499999999999,68.34255319148937,40.3,88.0,0.8568,54.0,27.4,9.2,0.3,37.9,5.3,27.9,65.0,56.0,2.0,743.4,68.8,65.2,0.0,0.0,3.8,5.1,0.27,0.23,16.7,35.2,70.5,9.2,14.0,16.4,90.0,88.0,99.4,97.0,30.0,32.0,10.086792452830188,480.17894736842106,532.0,260.49223300970874,145.89054054054054,89.6,71.3,54.4,207.31297709923663,194.94313725490193,4.993181818181818,7.268750000000001,4.2,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.8,9.0,8.0,3.4,5.6,339.6545454545454,405.780487804878,0.4,0.4,0.3,0.3,0.1,0.1,80.2,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,83.9,42.0,381.29999999999995,52.8,152.66666666666666,-77.5,40.3,38.3,221.65217391304347,-76.0,2.7,65.6,109.12765957446808,112.2,4.5,38.3,12.1,56.5,175.2,42.5,0.1,0.9,1.5,11.3,89.30934579439251,346.0,1
Zimbabwe,79.07499999999999,68.34255319148937,40.4,81.8,0.8568,25.1,21.7,-22.2,0.9,27.2,6.7,27.1,66.0,68.0,1.5,386.9,48.8,35.5,0.3,0.3,9.3,10.3,0.3,0.29,33.9,39.9,85.5,18.1,32.4,29.1,69.3,81.8,45.7,52.7,40.0,42.0,10.086792452830188,657.0,278.22336448598134,260.49223300970874,144.7,22.9,62.6,67.2,64.3,194.94313725490193,4.993181818181818,7.268750000000001,1.1714285714285713,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,8.0,15.0,3.2,2.9,339.6545454545454,405.780487804878,1.7,1.0,1.5,0.9,0.5,0.4,12.3,3.6,29.1,82.0,6.0,12.0,3.0,94.0,49.8,381.29999999999995,105.3,152.66666666666666,-16.3,12.2,69.8,221.65217391304347,-38.1,5.3,89.7,109.12765957446808,80.69254658385093,9.4,46.5,21.2,93.9,185.0,25.4,0.1,1.2,1.6,38.0,89.30934579439251,210.0,1
